,Actors,Awards,Country,Director,Genre,Language,Metascore,Plot,Ranking,Rated,Released,Response,Runtime,Title,Type,Writer,Year,imdbID,imdbRating,imdbVotes
20,"Tom Bartlett, Paige Sullivan, Steven Boggs, Kelley Palmer",N/A,USA,Rick Sloane,"Comedy, Horror, Sci-Fi",English,N/A,A young security guard must track down diminutive aliens who kill people even as they make their fantasies come true.,29,R,14 Jul 1988,True,88 min,Hobgoblins,movie,Rick Sloane,1988,tt0089280,2.3,"8,494"
21,"Mariah Carey, Max Beesley, Da Brat, Tia Texada",3 wins & 10 nominations.,USA,Vondie Curtis-Hall,"Drama, Music, Romance",English,14,"A young singer dates a disc jockey who helps her get into the music business, but their relationship become complicated as she ascends to super stardom.",30,PG-13,21 Sep 2001,True,104 min,Glitter,movie,"Cheryl L. West (story), Kate Lanier (screenplay)",2001,tt0118589,2.1,"19,514"
22,"Douglas Mellor, Barbara Francis, Bing Stafford, Larry Aten",N/A,USA,Coleman Francis,"Horror, Sci-Fi",English,N/A,A defecting Soviet scientist is hit by a nuclear explosion near Yucca Flats and roams around as a beast.,31,UNRATED,02 May 1961,True,54 min,The Beast of Yucca Flats,movie,Coleman Francis,1961,tt0054673,2.4,"6,554"
23,"Jamie Kennedy, Alan Cumming, Liam Falconer, Ryan Falconer",7 wins & 12 nominations.,"USA, Germany",Lawrence Guterman,"Comedy, Family, Fantasy",English,20,"Tim Avery, an aspiring cartoonist, finds himself in a predicament when his dog stumbles upon the mask of Loki. Then after conceiving an infant son ""born of the mask"", he discovers just how looney child raising can be.",32,PG,18 Feb 2005,True,94 min,Son of the Mask,movie,Lance Khazei,2005,tt0362165,2.2,"41,260"
24,"Anthony Mackie, Wesley Jonathan, Eva Marcille, Wayne Brady",N/A,USA,Preston A. Whitmore II,"Action, Sport",English,30,"A naturally talented basketball player, Noah Cruise is determined to become a doctor using his basketball scholarship to UCLA pre-med, rather than succumb to the lure of former sports agent...",33,PG-13,01 Sep 2006,True,95 min,Crossover,movie,Preston A. Whitmore II,2006,tt0473024,2.1,"8,723"
25,"Reb Brown, John Phillip Law, James Ryan, Cameron Mitchell",N/A,"South Africa, USA","David Winters, Neal Sundstrom","Action, Adventure, Romance",English,N/A,"A pilot is the only hope to stop the mutiny of a spacecraft by its security crew, who plot to sell the crew of the ship into slavery.",35,R,01 Aug 1988,True,91 min,Space Mutiny,movie,Maria Dante,1988,tt0096149,2.0,"5,632"
26,"Coleman Francis, Anthony Cardoza, Harold Saunders, John Carradine",N/A,USA,Coleman Francis,"Action, Adventure, Thriller",English,N/A,"Escaped convict Griffin and his friends ran all the way to Hell...with a penny, and a broken cigarette.",36,N/A,01 Nov 1966,True,89 min,Night Train to Mundo Fine,movie,Coleman Francis,1966,tt0060753,2.6,"5,874"
27,"Ian Sera, Nina Ferrer, Susanna Bequer, Sara Palmer",N/A,Spain,Juan Piquer Simón,Sci-Fi,"French, Spanish",N/A,A young boy in the woods discovers a lovable alien...or is it?,37,N/A,13 Dec 1983,True,80 min,Extra Terrestrial Visitors,movie,"Joaquín Grau, Juan Piquer Simón",1983,tt0086026,2.1,"3,751"
28,"Katherine Victor, George Mitchell, Steve Brodie, Richard Banks",N/A,USA,Jerry Warren,"Action, Comedy, Adventure",English,N/A,The pointlessly named Batwoman and her bevy of Batmaidens fight evil and dance.,38,N/A,N/A,True,70 min,The Wild World of Batwoman,movie,Jerry Warren (original screenplay),1966,tt0061191,2.1,"3,851"
29,"Corey Sevier, Laura Bell Bundy, Sisqó, Lee Norris",N/A,USA,Joel Silverman,"Comedy, Sport",English,N/A,"A rag-tag bunch of seniors, complete outsiders at their surf-crazed Laguna Beach High School, decide to crash the biggest team surf contest. In order to prevail, however, they must do one ...",39,R,01 Sep 2006,True,87 min,Surf School,movie,Joel Silverman,2006,tt0456014,2.1,"4,616"
