,Actors,Awards,Country,Director,Genre,Language,Metascore,Plot,Ranking,Rated,Released,Response,Runtime,Title,Type,Writer,Year,imdbID,imdbRating,imdbVotes
66,"Dudley Moore, John Lithgow, David Huddleston, Burgess Meredith",N/A,"UK, USA",Jeannot Szwarc,"Adventure, Family, Fantasy",English,N/A,A peasant woodcutter becomes Santa Claus and later foils an evil toy manufacturer's scheme to take over Christmas.,80,PG,27 Nov 1985,True,107 min,Santa Claus,movie,"David Newman (story), Leslie Newman (story), David Newman (screenplay)",1985,tt0089961,6.0,"8,432"
67,"Heather Ann Davis, Eric Callero, Frank Pacheco, Michael Adam Hamilton",N/A,USA,Craig Moss,Comedy,English,N/A,"A comedic spoof based on the worldwide phenomenon, The Twilight Saga.",81,R,13 Jan 2012,True,82 min,Breaking Wind,movie,Craig Moss,2012,tt1651323,2.4,"3,656"
68,"Joe Don Baker, Martin Balsam, John Saxon, Linda Evans",N/A,USA,Andrew V. McLaglen,"Action, Crime, Drama",English,N/A,"A sleazy, incompetent detective tries to simultaneously take down heroin dealers and a socialite who murdered a burglar.",82,R,10 Sep 1975,True,97 min,Mitchell,movie,Ian Kennedy Martin,1975,tt0073396,2.4,"3,774"
69,"Harald Maresch, Helga Franck, Alexander D'Arcy, Helga Neuner",N/A,West Germany,Fritz Böttger,Horror,German,N/A,"Survivors of a plane crash on a remote island find it is covered by spiders. When bitten, the survivors start turning into spiders!",83,UNRATED,01 Mar 1962,True,77 min,Body in the Web,movie,"Fritz Böttger, Eldon Howard, Albert G. Miller",1960,tt0054333,2.4,"2,967"
70,"Matt LeBlanc, Gene Ross, Paul Hewitt, Sage Allen",3 nominations.,USA,Bill Couturié,"Comedy, Family, Sport",English,N/A,A trained chimpanzee plays third base for a minor-league baseball team.,84,PG,15 Mar 1996,True,94 min,Ed,movie,"Ken Richards (story), Janus Cercone (story), David M. Evans (screenplay)",1996,tt0116165,2.6,"7,169"
71,"Kim Milford, Cheryl Smith, Gianni Russo, Ron Masak",1 nomination.,USA,Michael Rae,"Horror, Sci-Fi",English,N/A,"A teenager stumbles upon an alien weapon, which transforms him into a grotesque killer.",86,PG,01 Mar 1978,True,85 min,Laserblast,movie,"Franne Schacht, Frank Ray Perilli",1978,tt0077834,2.5,"4,426"
72,"Justin Chatwin, Yun-Fat Chow, Emmy Rossum, Jamie Chung",1 nomination.,"USA, Hong Kong, UK",James Wong,"Action, Adventure, Fantasy","English, Japanese, Hindi",45,"The young warrior Son Goku sets out on a quest, racing against time and the vengeful King Piccolo, to collect a set of seven magical orbs that will grant their wielder unlimited power.",87,PG,10 Apr 2009,True,85 min,Dragonball: Evolution,movie,"Ben Ramsey (screenplay), Akira Toriyama (novel)",2009,tt1098327,2.7,"57,275"
73,"Sean Maguire, Carmen Electra, Ken Davitian, Kevin Sorbo",6 nominations.,USA,"Jason Friedberg, Aaron Seltzer",Comedy,English,9,"The heroic Spartan king Leonidas, armed with nothing but leather underwear and a cape, leads a ragtag bunch of 13 Spartan misfit warriors to defend their homeland against thousands of ...",88,PG-13,25 Jan 2008,True,86 min,Meet the Spartans,movie,"Jason Friedberg, Aaron Seltzer",2008,tt1073498,2.7,"89,139"
74,"Robert Lowell, Mary Beth Hughes, John Miljan, Vivienne Osborne",N/A,USA,Sam Newfield,"Crime, Drama",English,N/A,Young man goes to work for gangsters to impress his nightclub-singer girlfriend.,89,APPROVED,04 Nov 1944,True,68 min,I Accuse My Parents,movie,"Arthur Caesar (original story), Harry L. Fraser (screenplay), Marjorie Dudley (screenplay)",1944,tt0037798,2.3,"2,204"
75,"Michael Sopkiw, Valentine Monnier, Gianni Garko, William Berger",N/A,"Italy, France",Lamberto Bava,"Action, Horror, Thriller",Italian,N/A,"A marine biologist, a dolphin trainer, a research scientist, and a local sheriff try to hunt down a large sea monster, a shark/octopus hybrid, that is devouring swimmers and fishermen off a south Florida coast.",90,R,14 Nov 1986,True,90 min,Devil Fish,movie,"Lamberto Bava (additional material), Gianfranco Clerici (screenplay), Luigi Cozzi (story), Sergio Martino (story), Hervé Piccini (screenplay), Dardano Sacchetti (screenplay)",1984,tt0088100,2.3,"2,422"
76,"Billy Zane, Kelly Brook, Juan Pablo Di Pace, Todd Collins",1 win.,"USA, UK, Luxembourg",Stewart Raffill,"Adventure, Drama, Horror","English, Spanish",N/A,"Three people - a rich couple and a crew member - are shipwrecked on a tropical island, and their subsequent fight for survival becomes even tougher when they begin to turn on each other.",91,TV-MA,05 May 2006,True,95 min,Survival Island,movie,Stewart Raffill,2005,tt0377309,5.0,"7,447"
77,"Whoopi Goldberg, Armin Mueller-Stahl, Juliet Landau, Bud Cort",2 wins & 1 nomination.,USA,Jonathan R. Betuel,"Action, Comedy, Family",English,N/A,"In an alternate futuristic society, a tough female police detective is paired with a talking dinosaur to find the killer of dinosaurs and other prehistoric animals leading them to a mad scientist bent on creating a new Armageddon.",92,PG,14 Dec 1995,True,92 min,Theodore Rex,movie,Jonathan R. Betuel,1995,tt0114658,2.4,"3,143"
78,"Matthew Bruch, Bonnie Pritchard, Peter Harrington, George Woodard",1 win.,USA,David Giancola,Sci-Fi,English,N/A,"An inventor comes up with a time machine, but must prevent its abuse at the hands of an evil C.E.O.",93,PG-13,17 Mar 1994,True,89 min,Time Chasers,movie,David Giancola,1994,tt0145529,2.3,"2,549"
79,"Julia Sweeney, Dave Foley, Charles Rocket, Kathy Griffin",1 win & 7 nominations.,USA,Adam Bernstein,Comedy,"English, Japanese",N/A,The comedic misadventures of a person of indeterminate gender.,94,PG-13,26 Aug 1994,True,77 min,It's Pat,movie,"Julia Sweeney (characters), Jim Emerson, Stephen Hibbert, Julia Sweeney",1994,tt0110169,2.6,"8,532"
80,"Michael Stephenson, George Hardy, Margo Prey, Connie Young",N/A,Italy,Claudio Fragasso,"Comedy, Fantasy, Horror",English,N/A,"A family vacationing in a small town discovers the entire town is inhabited by goblins in disguise as humans, who plan to eat them.",95,PG-13,12 Oct 1990,True,95 min,Troll 2,movie,"Rossella Drudi (screenplay), Claudio Fragasso (screenplay), Claudio Fragasso (story)",1990,tt0105643,2.7,"24,816"
81,"Robert Ginty, Persis Khambatta, Donald Pleasence, Fred Williamson",N/A,"Italy, USA",David Worth,"Sci-Fi, Action",English,N/A,"A nomad mercenary on a high-tech motorcycle helps bring about the downfall of the evil Orwellian government, the Omega.",96,R,01 Sep 1985,True,92 min,Warrior of the Lost World,movie,David Worth,1983,tt0088380,2.3,"2,038"
82,"Stewart Moss, Marianne McAndrew, Michael Pataki, Paul Carr",N/A,USA,Jerry Jameson,"Horror, Romance",English,N/A,"After being bitten by a bat in a cave, a doctor undergoes an accelerating transformation into a man-bat, which ruins his vacation and causes considerable distress for his wife.",97,PG,30 Jan 1974,True,91 min,The Bat People,movie,Lou Shaw,1974,tt0071198,2.2,"1,777"
83,"Alyson Hannigan, Adam Campbell, Sophie Monk, Eddie Griffin",4 wins & 1 nomination.,"USA, Switzerland","Aaron Seltzer, Jason Friedberg","Comedy, Romance",English,11,"Spoof of romantic comedies which focuses on a man, his crush, his parents, and her father.",98,PG-13,17 Feb 2006,True,83 min,Date Movie,movie,"Jason Friedberg, Aaron Seltzer",2006,tt0466342,2.7,"50,727"
84,"Bo Derek, Anthony Quinn, Don Murray, Julie Newmar",4 wins & 6 nominations.,USA,John Derek,"Comedy, Crime, Fantasy",English,N/A,"Elderly Scott kills himself after a heart attack wrecks his body, but then comes back as a ghost and convinces his loving young hot wife Kate to pick and kill a young man in order for Scott to possess his body and be with her again.",99,R,01 Jun 1990,True,90 min,Ghosts Can't Do It,movie,John Derek (by),1989,tt0099656,2.3,"1,964"
